Open Mic,Day,Start Time,Latest End Time,Venue Name,Borough,Neighborhood,Location,Venue type,Cost,Stage time,Sign-Up Instructions,Host(s) / Organizer,Changes/updates,Last verified,This Month's Changes ,Other Rules,Help other comics! Leave reviews,unique identifier,Geocodio Latitude,Geocodio Longitude,Geocodio Accuracy Score,Geocodio Accuracy Type,Geocodio Address Line 1,Geocodio Address Line 2,Geocodio Address Line 3,Geocodio House Number,Geocodio Street,Geocodio Unit Type,Geocodio Unit Number,Geocodio City,Geocodio State,Geocodio County,Geocodio Postal Code,Geocodio Country,Geocodio Source
Grisly Pear,Sunday,2:00 PM,3:30 PM,Grisly Pear,Manhattan ,Greenwich Village,"107 Macdougal St, New York, NY 10012",Comedy Club,$5 cash,5,in person only,Grisly Pear,@grislypear,Verified 8/7 SMS,,show up first go up first depending on the host,,Sunday-2:00 PM-@grislypear,40.729824,-74.000758,1,rooftop,107 Mac Dougal St,,"New York, NY 10012",107,Mac Dougal St,,,New York,NY,New York County,10012,US,City of New York
Grisly Pear,Monday,4:30 PM,6:00 PM,Grisly Pear,Manhattan,Greenwich Village,"107 Macdougal St, New York, NY 10012",Comedy Club,$5 cash,5,in person only,@shanonharrislive,@grislypear,Verified 8/7 SMS,,,,,40.729824,-74.000758,1,rooftop,107 Mac Dougal St,,"New York, NY 10012",107,Mac Dougal St,,,New York,NY,New York County,10012,US,City of New York
Grisly Pear,Monday,6:00 PM,7:00 PM,Grisly Pear,Manhattan,Greenwich Village,"107 Macdougal St, New York, NY 10012",Bar,"1 drink min ($4 pineapple juice, really $3 with $1 tip)",5,in person only,@shanonharrislive,@grislypear,Verified 8/7 SMS,,,,,40.729824,-74.000758,1,rooftop,107 Mac Dougal St,,"New York, NY 10012",107,Mac Dougal St,,,New York,NY,New York County,10012,US,City of New York
Grisly Pear,Tuesday,4:30 PM,6:00 PM,Grisly Pear,Manhattan,Greenwich Village,"107 Macdougal St, New York, NY 10012",Comedy Club,$5 cash,5,in person only,@shanonharrislive,@grislypear,Verified 8/7 SMS,,,,Tuesday-4:30 PM-@grislypear,40.729824,-74.000758,1,rooftop,107 Mac Dougal St,,"New York, NY 10012",107,Mac Dougal St,,,New York,NY,New York County,10012,US,City of New York
Grisly Pear,Tuesday,6:00 PM,7:00 PM,Grisly Pear,Manhattan,Greenwich Village,"107 Macdougal St, New York, NY 10012",Comedy Club,$5 cash,6,in person only,@shanonharrislive,@grislypear,Verified 8/7 SMS,,,,Tuesday-6:00 PM-@grislypear,40.729824,-74.000758,1,rooftop,107 Mac Dougal St,,"New York, NY 10012",107,Mac Dougal St,,,New York,NY,New York County,10012,US,City of New York
Grisly Pear,Wednesday,4:30 PM,6:00 PM,Grisly Pear,Manhattan,Greenwich Village,"107 Macdougal St, New York, NY 10012",Comedy Club,$5 cash,5,in person only,@shanonharrislive,@shanonharrislive,Verified 8/7 SMS,,,,Wednesday-4:30 PM-@shanonharrislive,40.729824,-74.000758,1,rooftop,107 Mac Dougal St,,"New York, NY 10012",107,Mac Dougal St,,,New York,NY,New York County,10012,US,City of New York
Grisly Pear,Wednesday,6:00 PM,7:00 PM,Grisly Pear,Manhattan,Greenwich Village,"107 Macdougal St, New York, NY 10012",Bar,$5 cash,5,in person only,@shanonharrislive,@grislypear,Verified 8/7 SMS,,,,Wednesday-6:00 PM-@grislypear,40.729824,-74.000758,1,rooftop,107 Mac Dougal St,,"New York, NY 10012",107,Mac Dougal St,,,New York,NY,New York County,10012,US,City of New York
Grisly Pear,Thursday,4:30 PM,6:00 PM,Grisly Pear,Manhattan,Greenwich Village,"107 Macdougal St, New York, NY 10012",Comedy Club,$5 cash,5,in person only,A grisly pear comic,@grislypear,Verified 8/7 SMS,,show up first go up first depending on the host,,Thursday-4:30 PM-@grislypear,40.729824,-74.000758,1,rooftop,107 Mac Dougal St,,"New York, NY 10012",107,Mac Dougal St,,,New York,NY,New York County,10012,US,City of New York
Grisly Pear,Thursday,6:00 PM,7:00 PM,Grisly Pear,Manhattan,Greenwich Village,"107 Macdougal St, New York, NY 10012",Comedy Club,$5 cash,5,in person only,A grisly pear comic,@grislypear,Verified 8/7 SMS,,,,Thursday-6:00 PM-@grislypear,40.729824,-74.000758,1,rooftop,107 Mac Dougal St,,"New York, NY 10012",107,Mac Dougal St,,,New York,NY,New York County,10012,US,City of New York
Grisly Pear,Friday,4:00 PM,5:00 PM,Grisly Pear,Manhattan,Greenwich Village,"107 Macdougal St, New York, NY 10012",Comedy Club,$5 cash,5,Sign up in person,A grisly pear comic,@grislypear,Verified 8/7 SMS,,,,Grisly_Pear_Friday_400_PM_10,40.729824,-74.000758,1,rooftop,107 Mac Dougal St,,"New York, NY 10012",107,Mac Dougal St,,,New York,NY,New York County,10012,US,City of New York
Comedy Shop,Sunday,2:00 PM,4:00 PM,Comedy Shop,Manhattan ,Greenwich Village,"167 Bleecker St Rear, New York, NY 10012",Comedy Club,$7.62 but you get a free drink or fries,,https://comedyshopnyc.com/events/ ,,@thecomedyshopvillage,Verified 8/7 SMS,,show up first go up first depending on the host,,Sunday-2:00 PM-@thecomedyshopvillage,40.728791,-74.000177,1,rooftop,167 Bleecker St,,"New York, NY 10012",167,Bleecker St,,,New York,NY,New York County,10012,US,City of New York
Comedy Shop,Sunday,4:00 PM,5:30 PM,Comedy Shop,Manhattan ,Greenwich Village,"167 Bleecker St Rear, New York, NY 10012",Comedy Club,$7.62 but you get a free drink or fries,5,https://comedyshopnyc.com/events/ ,Comedy Shop,@thecomedyshopvillage,Verified 8/7 SMS,,show up first go up first depending on the host,,Sunday-4:00 PM-@thecomedyshopvillage,40.728791,-74.000177,1,rooftop,167 Bleecker St,,"New York, NY 10012",167,Bleecker St,,,New York,NY,New York County,10012,US,City of New York
Comedy Shop,Monday,4:00 PM,6:00 PM,Comedy Shop,Manhattan,Greenwich Village,"167 Bleecker St Rear, New York, NY 10012",Comedy Club,$7.62 but you get a free drink or fries,,https://reservations.waivermaster.com/book/?qs=a44dcec9-0cb5-4773-bf53-c734db1dc10a%7C22b1df29-287a-465b-95ad-a94a46f45e20%7C1961fdf3-d94c-47db-afa2-59a679580d45&oqs=evd%3D2024-07-12%26evt%3D18%3A00&_gl=1*g0fy8f*_gcl_au*MTA3MzMwNzM5LjE3MTk0NTkzNzY.*_ga*MTA1MjU3NTYxOC4xNzE5NDU5Mzc2*_ga_RVSSW2PKR7*MTcyMDgxODE5Mi4yLjAuMTcyMDgxODE5Ni4wLjAuMA..,A comedy shop comic,@thecomedyshopvillage,Verified 8/7 SMS,,,,,40.728791,-74.000177,1,rooftop,167 Bleecker St,,"New York, NY 10012",167,Bleecker St,,,New York,NY,New York County,10012,US,City of New York
Comedy Shop,Monday,6:00 PM,7:30 PM,Comedy Shop,Manhattan,Greenwich Village,"167 Bleecker St Rear, New York, NY 10012",Comedy Club,$5 cash,6,https://reservations.waivermaster.com/book/?qs=a44dcec9-0cb5-4773-bf53-c734db1dc10a%7C22b1df29-287a-465b-95ad-a94a46f45e20%7C1961fdf3-d94c-47db-afa2-59a679580d45&oqs=evd%3D2024-07-12%26evt%3D18%3A00&_gl=1*g0fy8f*_gcl_au*MTA3MzMwNzM5LjE3MTk0NTkzNzY.*_ga*MTA1MjU3NTYxOC4xNzE5NDU5Mzc2*_ga_RVSSW2PKR7*MTcyMDgxODE5Mi4yLjAuMTcyMDgxODE5Ni4wLjAuMA..,A comedy shop comic,@thecomedyshopvillage,Verified 8/7 SMS,,,,,40.728791,-74.000177,1,rooftop,167 Bleecker St,,"New York, NY 10012",167,Bleecker St,,,New York,NY,New York County,10012,US,City of New York
Comedy Shop,Tuesday,4:00 PM,5:30 PM,Comedy Shop,Manhattan,Greenwich Village,"167 Bleecker St Rear, New York, NY 10012",Comedy Club,$7.62 but you get a free drink or fries,,https://reservations.waivermaster.com/book/?qs=a44dcec9-0cb5-4773-bf53-c734db1dc10a%7C22b1df29-287a-465b-95ad-a94a46f45e20%7C1961fdf3-d94c-47db-afa2-59a679580d45&oqs=evd%3D2024-07-12%26evt%3D18%3A00&_gl=1*g0fy8f*_gcl_au*MTA3MzMwNzM5LjE3MTk0NTkzNzY.*_ga*MTA1MjU3NTYxOC4xNzE5NDU5Mzc2*_ga_RVSSW2PKR7*MTcyMDgxODE5Mi4yLjAuMTcyMDgxODE5Ni4wLjAuMA..,A comedy shop comic,@thecomedyshopvillage,Verified 8/7 SMS,,,,Tuesday-4:00 PM-@thecomedyshopvillage,40.728791,-74.000177,1,rooftop,167 Bleecker St,,"New York, NY 10012",167,Bleecker St,,,New York,NY,New York County,10012,US,City of New York
